ISSN;Título;Área de Avaliação;Estrato
0001-0782;COMMUNICATIONS OF THE ACM;CIÊNCIA DA COMPUTAÇÃO                             ;A1
0001-1452;AIAA JOURNAL (PRINT);CIÊNCIA DA COMPUTAÇÃO                             ;B3
0001-1452;AIAA JOURNAL (PRINT);BIODIVERSIDADE;A2
0001-1541;AICHE JOURNAL;CIÊNCIAS BIOLÓGICAS I                             ;B1
0001-1541;AICHE JOURNAL;CIÊNCIAS AMBIENTAIS;A1
0001-1541;AICHE JOURNAL;CIÊNCIA DE ALIMENTOS                              ;B2
0001-2343;ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE;DIREITO                                           ;A1
0001-2343;ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE;BIODIVERSIDADE;B5
0001-2351;TRANSACTIONS OF THE ASAE;CIÊNCIAS AMBIENTAIS;B1
0001-2351;TRANSACTIONS OF THE ASAE;CIÊNCIAS AGRÁRIAS I                               ;B1
0001-2815;TISSUE ANTIGENS;CIÊNCIAS BIOLÓGICAS III                           ;B2
0001-2815;TISSUE ANTIGENS;CIÊNCIAS BIOLÓGICAS II                            ;B2
0001-2815;TISSUE ANTIGENS;CIÊNCIAS BIOLÓGICAS I                             ;B2
0001-2815;TISSUE ANTIGENS;BIOTECNOLOGIA                                     ;B1
0001-3072;ABACUS (SYDNEY. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIAS BIOLÓGICAS III                           ;B3
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIAS BIOLÓGICAS II                            ;B5
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIAS BIOLÓGICAS I                             ;B5
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;CIÊNCIAS BIOLÓGICAS I                             ;B5
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIAS AMBIENTAIS;B1
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;CIÊNCIAS AMBIENTAIS;B1
