ISSN;Título;Área de Avaliação;Estrato
0001-1452;AIAA JOURNAL (PRINT);BIODIVERSIDADE;A2
0001-2343;ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE;BIODIVERSIDADE;B5
0001-3072;ABACUS (SYDNEY. PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);BIODIVERSIDADE;B2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;BIODIVERSIDADE;B2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ASTRONOMIA / FÍSICA                               ;B4
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0001-4265;ACADEMY OF GENERAL DENTISTRY;BIODIVERSIDADE;C 
0001-4273;ACADEMY OF MANAGEMENT JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0001-4575;ACCIDENT ANALYSIS AND PREVENTION;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0001-4842;ACCOUNTS OF CHEMICAL RESEARCH;ASTRONOMIA / FÍSICA                               ;A1
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;ASTRONOMIA / FÍSICA                               ;B2
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;ARTES;A2
0001-5237;ACTA ASTRONOMICA;ASTRONOMIA / FÍSICA                               ;B1
